t,x,y
11.19748,-292.6729,-226.0568
11.23081,-257.2259,-261.5152
11.26413,-224.7567,-315.5586
11.29746,-148.784,-343.1596
11.33079,-67.04054,-364.0426
11.36411,22.13287,-369.0559
11.39744,113.5865,-364.0732
11.43076,200.1857,-345.0448
11.46409,256.3564,-306.5658
11.49742,290.1049,-256.0276
11.53074,322.9708,-223.5123
11.56407,335.8588,-201.4911
11.59739,340.1347,-199.2236
11.63072,325.9515,-212.4089
11.66404,296.1292,-241.6871
11.69737,264.4923,-293.6159
11.7307,207.6202,-342.9217
11.76402,123.6488,-364.8553
11.79735,33.36526,-372.9658
11.83067,-59.38869,-362.3601
11.864,-154.7855,-353.6895
11.89733,-216.5175,-311.6297
11.93065,-261.082,-265.5875
11.96398,-287.2456,-228.0377
11.9973,-303.1307,-203.1294
12.03063,-312.3194,-195.2894
12.06395,-312.0925,-207.0378
12.09728,-289.4853,-230.5856
12.13061,-267.0473,-272.5682
12.16393,-225.0984,-319.3019
12.19726,-160.097,-358.2012
12.23058,-68.24461,-367.8968
12.26391,21.3479,-369.5558
12.29724,110.792,-363.9924
12.33056,192.7526,-348.1785
12.36389,250.388,-309.1013
12.39721,284.8973,-259.9289
12.43054,310.0704,-223.687
12.46386,332.5183,-209.6775
12.49719,333.885,-205.6129
12.53052,321.6261,-219.7921
12.56384,303.2174,-257.6799
12.59717,260.5132,-299.7884
12.63049,197.5136,-338.2298
12.66382,118.4731,-364.1375
12.69715,29.36738,-371.3957
12.73047,-61.8036,-364.9725
12.7638,-153.9124,-352.1539
12.79712,-218.1506,-315.1837
12.83045,-260.259,-269.399
12.86377,-298.0051,-237.934
12.8971,-313.75,-213.1659
12.93043,-321.088,-206.0404
12.96375,-303.8346,-212.1282
12.99708,-284.9472,-238.1039
13.0304,-263.2234,-281.3446
13.06373,-211.8703,-321.1917
13.09706,-148.9694,-359.1954
13.13038,-60.43559,-369.8209
13.16371,27.83313,-371.2125
13.19703,117.4606,-364.2203
13.23036,202.1671,-342.5373
13.26368,245.552,-302.6918
13.29701,293.9587,-270.6198
13.33034,314.9587,-232.589
13.36366,328.8272,-214.6217
13.39699,333.2354,-214.4239
13.43031,315.9265,-228.5007
13.46364,286.2296,-258.7548
13.49697,253.9847,-311.2495
13.53029,186.3897,-343.534
13.56362,107.4943,-368.2107
13.59694,18.56599,-372.0583
13.63027,-71.49705,-360.9616
13.66359,-163.4262,-352.8036
13.69692,-221.2921,-314.7652
13.73025,-263.7869,-270.6843
13.76357,-296.1748,-238.704
13.7969,-299.326,-213.7136
13.83022,-304.7196,-208.8595
13.86355,-294.3436,-219.014
13.89688,-289.7782,-252.9222
13.9302,-241.4323,-282.828
13.96353,-205.7741,-332.9809
13.99685,-136.6795,-365.6869
14.03018,-46.82088,-369.4393
14.0635,39.11153,-369.7898
14.09683,127.5363,-363.1042
14.13016,201.6929,-344.1666
14.16348,251.0668,-302.5206
14.19681,293.4128,-267.5193
14.23013,312.5486,-233.0544
14.26346,327.7726,-219.7114
14.29679,327.9431,-221.4326
14.33011,311.668,-239.903
14.36344,288.1175,-279.82
14.39676,232.5864,-309.9019
14.43009,172.5292,-354.5913
14.46341,88.67087,-365.5557
14.49674,1.561097,-374.9091
14.53007,-86.61435,-363.7683
14.56339,-175.1984,-346.7654
14.59672,-225.0291,-307.2036
14.63004,-272.4147,-271.3814
14.66337,-278.2298,-231.7772
14.6967,-292.3819,-214.607
14.73002,-293.9391,-212.8711
14.76335,-287.8134,-229.1209
14.79667,-270.0893,-258.7835
14.83,-244.5208,-304.7447
14.86333,-188.7028,-342.2038
14.89665,-112.4185,-365.9538
14.92998,-31.55165,-381.536
14.9633,59.4819,-374.7312
14.99663,144.5004,-362.4555
15.02995,227.092,-303.1878
15.06328,262.2927,-304.1368
15.09661,291.1015,-261.8332
15.12993,317.8228,-237.7726
15.16326,321.5708,-222.8796
15.19658,320.6508,-229.7263
15.22991,301.7639,-251.9801
15.26324,274.8964,-293.239
15.29656,223.3114,-334.221
15.32989,153.803,-365.5645
15.36321,66.0704,-370.5742
15.39654,-22.92375,-376.4237
15.42986,-110.9223,-370.0337
15.46319,-186.8632,-342.5377
15.49652,-239.6344,-304.6899
15.52984,-263.151,-260.6192
15.56317,-279.2038,-231.1227
15.59649,-304.5597,-223.6788
15.62982,-292.0205,-221.9667
15.66315,-282.3173,-240.7219
15.69647,-264.9299,-276.7568
15.7298,-226.4058,-316.6868
15.76312,-163.2066,-348.4616
15.79645,-84.52646,-366.9749
15.82977,-0.5442855,-370.8807
15.8631,83.50931,-371.0613
15.89643,162.6679,-356.9466
15.92975,243.131,-301.6901
15.96308,264.3684,-289.5728
15.9964,294.2894,-256.667
16.02973,312.1309,-234.4969
16.06306,318.23,-228.5099
16.09638,310.5208,-237.9588
16.12971,294.0417,-269.7848
16.16303,256.325,-308.0209
16.19636,200.3089,-346.2914
16.22968,123.8982,-364.3575
16.26301,36.85611,-369.3434
16.29634,-48.64383,-368.2675
16.32966,-136.5337,-360.1648
16.36299,-215.8244,-323.2821
16.39631,-246.6074,-292.6783
16.42964,-285.2875,-262.6755
16.46297,-299.0821,-237.954
16.49629,-307.2253,-229.9483
16.52962,-299.3477,-235.8445
16.56294,-268.9609,-253.6848
16.59627,-249.7207,-293.6492
16.62959,-205.7776,-332.9843
16.66292,-130.596,-352.9106
16.69625,-56.3272,-373.6068
16.72957,28.15857,-369.8713
16.7629,110.8632,-364.0889
