t,x,y
10.3965,271.7049,-178.9205
10.42982,273.2182,-175.9846
10.46315,275.2732,-190.0423
10.49647,262.5971,-207.8102
10.52979,239.0267,-231.7531
10.56311,208.676,-261.6428
10.59643,164.2213,-289.5068
10.62976,110.5789,-315.1882
10.66308,50.92605,-327.3378
10.6964,-20.5759,-335.524
10.72972,-82.22293,-323.545
10.76305,-143.2233,-298.569
10.79637,-195.8169,-270.4184
10.82969,-217.25,-252.0002
10.86301,-245.7538,-225.0326
10.89633,-260.133,-200.6993
10.92966,-265.5225,-184.613
10.96298,-267.8186,-180.7081
10.9963,-264.6925,-186.6188
11.02962,-254.187,-202.7611
11.06294,-234.2533,-225.8094
11.09627,-209.6143,-256.5673
11.12959,-169.9656,-284.9923
11.16291,-119.5018,-305.2426
11.19623,-66.90599,-324.7434
11.22955,-9.005591,-334.1048
11.26288,55.76971,-326.6288
11.2962,115.0138,-310.0221
11.32952,170.1727,-286.7379
11.36284,215.6015,-256.2847
11.39617,235.3163,-239.5666
11.42949,256.8778,-213.8431
11.46281,271.7755,-195.9101
11.49613,277.895,-185.8377
11.52945,278.1201,-186.5285
11.56278,269.9271,-196.6938
11.5961,254.2774,-217.1235
11.62942,229.5984,-242.7838
11.66274,194.1652,-270.4187
11.69606,148.8583,-299.7489
11.72939,92.8487,-317.8171
11.76271,30.14265,-328.3279
11.79603,-29.73224,-330.7353
11.82935,-97.18506,-318.8355
11.86268,-149.0056,-300.8558
11.896,-191.3472,-274.6842
11.92932,-221.2367,-243.8134
11.96264,-246.048,-217.9818
11.99596,-257.1326,-196.7689
12.02929,-264.708,-185.7452
12.06261,-266.3924,-185.617
12.09593,-258.2981,-194.1265
12.12925,-244.5995,-211.6612
12.16257,-222.6233,-235.7743
12.1959,-195.8893,-268.0948
12.22922,-153.2335,-293.8181
12.26254,-104.298,-317.5801
12.29586,-46.10374,-328.0597
12.32918,13.46704,-329.741
12.36251,74.32484,-322.1011
12.39583,132.1503,-309.2728
12.42915,185.8093,-280.2919
