t,x,y
9.030246,322.5693,-172.2041
9.063568,315.7516,-163.3821
9.09689,317.9939,-157.2189
9.130212,313.9876,-163.2304
9.163534,311.5873,-186.3727
9.196856,291.3996,-217.6912
9.230178,257.5843,-251.605
9.2635,209.5579,-289.0408
9.296822,149.862,-324.5416
9.330144,93.07841,-355.5079
9.363465,11.16267,-359.5314
9.396787,-79.45946,-351.5288
9.430109,-144.8577,-339.4202
9.463431,-209.0757,-308.8982
9.496753,-260.217,-268.5
9.530075,-284.3185,-220.6886
9.563397,-313.9838,-190.3407
9.596719,-316.4297,-162.874
9.630041,-336.6511,-158.0104
9.663363,-334.422,-160.7492
9.696685,-324.258,-176.5254
9.730007,-300.4599,-200.523
9.763329,-276.343,-238.5265
9.796651,-238.0765,-278.8719
9.829973,-182.0121,-310.7471
9.863295,-122.5596,-340.4222
9.896617,-51.82472,-368.1965
9.929938,16.63823,-364.1793
9.96326,105.7047,-344.0061
9.996582,165.4548,-320.7939
10.0299,219.9025,-290.4416
10.06323,275.0773,-242.0422
10.09655,303.1447,-204.3781
10.12987,320.0916,-175.973
10.16319,321.3911,-171.5582
10.19651,323.9361,-165.6764
10.22984,319.8255,-172.8031
10.26316,309.3322,-192.453
10.29648,286.8755,-222.444
10.3298,258.0177,-261.3742
10.36312,205.5812,-292.0773
10.39645,156.9097,-326.5437
10.42977,87.4278,-352.4903
10.46309,-7.806402,-360.8866
10.49641,-84.79769,-349.3955
10.52973,-142.6987,-330.5968
10.56306,-202.6263,-300.0926
10.59638,-248.6029,-260.4675
10.6297,-292.5705,-228.5351
10.66302,-312.5882,-194.4052
10.69634,-326.5701,-172.5922
10.72967,-329.5909,-162.4837
10.76299,-329.7762,-166.5088
10.79631,-314.7276,-180.3903
10.82963,-294.4022,-206.6341
10.86295,-269.2333,-244.5642
10.89627,-226.8298,-280.2515
10.9296,-178.8543,-324.0679
10.96292,-130.455,-350.25
10.99624,-53.17181,-369.3565
11.02956,24.46835,-371.9569
11.06288,101.3506,-348.8655
11.09621,169.1613,-319.4725
11.12953,219.5747,-286.382
11.16285,275.3459,-239.952
11.19617,302.6553,-205.3029
11.22949,318.6703,-178.996
11.26282,319.573,-175.2267
11.29614,321.3239,-170.8847
11.32946,310.6561,-176.4999
11.36278,305.1546,-200.4524
11.3961,280.8568,-230.2821
11.42943,253.4573,-266.3174
11.46275,199.7481,-305.0206
11.49607,145.0286,-332.6102
11.52939,73.84512,-350.8844
11.56271,-10.53412,-361.6863
11.59604,-82.44425,-356.9726
11.62936,-150.6714,-331.9338
11.66268,-210.2135,-300.9515
11.696,-261.7001,-266.422
11.72932,-282.879,-220.366
11.76265,-316.0487,-196.8429
11.79597,-328.3086,-176.3408
11.82929,-330.7164,-168.5581
11.86261,-322.8579,-172.3246
11.89593,-312.2231,-190.6231
11.92925,-288.6975,-216.3498
11.96258,-256.9345,-250.3439
11.9959,-215.7041,-288.2343
12.02922,-161.4356,-322.5549
12.06254,-110.4923,-343.5458
12.09586,-24.02596,-372.9104
12.12919,39.54027,-361.5
12.16251,115.1239,-339.7478
12.19583,184.3043,-320.5117
12.22915,221.9656,-278.3112
12.26247,275.2156,-232.7527
12.2958,301.6763,-202.4753
12.32912,317.9752,-179.0327
12.36244,310.8163,-175.3032
12.39576,317.5838,-176.4874
12.42908,311.7063,-187.5654
12.46241,297.9796,-209.5033
12.49573,272.1576,-241.5417
12.52905,232.0987,-273.6576
12.56237,189.7812,-307.4307
12.59569,126.1327,-334.1479
12.62902,43.41291,-361.3548
12.66234,-20.62507,-361.5328
12.69566,-100.3232,-346.8788
12.72898,-162.552,-324.1429
12.7623,-222.4748,-296.6479
12.79563,-256.5876,-250.7484
12.82895,-298.8329,-224.0605
12.86227,-303.1195,-188.5447
12.89559,-312.8395,-172.1347
12.92891,-328.8533,-174.0344
12.96224,-323.7988,-182.4101
12.99556,-298.6743,-196.4664
13.02888,-279.3546,-228.4882
13.0622,-253.0326,-270.6912
13.09552,-206.2978,-308.5921
13.12884,-145.3149,-338.5272
13.16217,-77.85069,-361.662
13.19549,-19.5624,-372.1909
13.22881,63.88251,-360.7241
13.26213,133.5469,-332.5629
13.29545,195.6459,-303.8779
13.32878,235.4302,-278.5332
13.3621,283.1723,-230.776
13.39542,305.3691,-200.7483
13.42874,310.3673,-192.3455
13.46206,315.9545,-181.9021
13.49539,308.1018,-180.7194
13.52871,305.8388,-196.5144
13.56203,289.0485,-222.5884
13.59535,257.5342,-250.2333
13.62867,217.3641,-286.2962
13.662,167.7705,-316.4059
13.69532,104.4853,-342.6513
13.72864,27.71121,-358.7068
13.76196,-51.37542,-356.9699
13.79528,-127.4471,-350.4235
13.82861,-176.5134,-314.7814
13.86193,-226.4936,-278.311
13.89525,-264.3349,-242.6403
13.92857,-303.2119,-218.2635
13.96189,-317.3045,-192.6967
13.99522,-325.1887,-180.5335
14.02854,-325.4111,-180.4364
14.06186,-318.0911,-192.6186
14.09518,-301.6571,-216.4
14.1285,-269.4144,-244.463
14.16183,-228.6678,-276.6579
14.19515,-184.3264,-320.7698
14.22847,-121.8612,-346.1112
14.26179,-63.84237,-354.5787
14.29511,10.55458,-359.4243
14.32843,86.40828,-349.1272
14.36176,154.7028,-326.8043
14.39508,212.5283,-293.4845
14.4284,248.7451,-272.0244
14.46172,278.7695,-239.0665
14.49504,299.1324,-210.8709
14.52837,310.0171,-192.6376
14.56169,305.5966,-182.5148
14.59501,310.0141,-191.8133
14.62833,298.7371,-209.4873
14.66165,276.8162,-237.2982
14.69498,238.3288,-263.4883
14.7283,196.6652,-300.4863
14.76162,142.0493,-328.6887
14.79494,74.12403,-362.1871
14.82826,-1.213058,-366.7337
