Time (s),Position (m)
10:27:41.647,0.167
10:27:42.647,0.167
10:27:43.647,0.167
10:27:44.647,0.167
10:27:45.647,0.167
10:27:46.647,0.166
10:27:47.647,0.166
10:27:48.647,0.166
10:27:49.647,0.166
10:27:50.647,0.166
10:27:51.647,0.166
10:27:52.647,0.165
10:27:53.647,0.165
10:27:54.647,0.165
10:27:55.647,0.165
10:27:56.647,0.165
10:27:57.647,0.165
10:27:58.647,0.165
10:27:59.647,0.165
10:28:00.647,0.164
10:28:01.647,0.164
10:28:02.647,0.164
10:28:03.647,0.164
10:28:04.647,0.164
10:28:05.647,0.163
10:28:06.647,0.163
10:28:07.647,0.163
10:28:08.647,0.163
10:28:09.647,0.162
10:28:10.647,0.162
10:28:11.647,0.162
10:28:12.648,0.162
10:28:13.647,0.162
10:28:14.647,0.162
10:28:15.647,0.162
10:28:16.647,0.161
10:28:17.647,0.161
10:28:18.647,0.161
10:28:19.647,0.161
10:28:20.647,0.16
10:28:21.647,0.16
10:28:22.647,0.16
10:28:23.647,0.16
10:28:24.647,0.16
10:28:25.647,0.16
10:28:26.647,0.159
10:28:27.647,0.159
10:28:28.647,0.159
10:28:29.647,0.159
10:28:30.647,0.159
10:28:31.648,0.158
10:28:32.648,0.158
10:28:33.647,0.158
10:28:34.647,0.158
10:28:35.647,0.158
10:28:36.647,0.158
10:28:37.647,0.157
10:28:38.647,0.157
10:28:39.647,0.157
10:28:40.647,0.157
10:28:41.647,0.156
10:28:42.647,0.156
10:28:43.647,0.156
10:28:44.647,0.156
10:28:45.647,0.156
10:28:46.647,0.156
10:28:47.647,0.155
10:28:48.647,0.155
10:28:49.647,0.155
10:28:50.647,0.155
10:28:51.647,0.155
10:28:52.647,0.155
10:28:53.648,0.155
10:28:54.647,0.155
10:28:55.647,0.155
10:28:56.647,0.154
10:28:57.647,0.154
10:28:58.647,0.154
10:28:59.647,0.154
10:29:00.647,0.154
10:29:01.647,0.154
10:29:02.647,0.154
10:29:03.647,0.153
10:29:04.647,0.153
10:29:05.647,0.153
10:29:06.647,0.153
10:29:07.647,0.153
10:29:08.647,0.153
10:29:09.647,0.152
10:29:10.647,0.152
10:29:11.647,0.152
10:29:12.647,0.152
10:29:13.647,0.152
10:29:14.647,0.152
10:29:15.647,0.152
10:29:16.647,0.152
10:29:17.647,0.152
10:29:18.647,0.152
10:29:19.647,0.152
10:29:20.647,0.152
10:29:21.647,0.152
10:29:22.647,0.152
10:29:23.647,0.151
10:29:24.647,0.152
10:29:25.647,0.151
10:29:26.647,0.151
10:29:27.647,0.151
10:29:28.647,0.151
10:29:29.647,0.151
10:29:30.647,0.151
10:29:31.647,0.151
10:29:32.647,0.151
10:29:33.647,0.151
10:29:34.647,0.151
10:29:35.647,0.151
10:29:36.647,0.151
10:29:37.647,0.151
10:29:38.647,0.151
10:29:39.647,0.151
