Time (s),Position (m)
10:11:26.815,0.068
10:11:27.815,0.069
10:11:28.815,0.068
10:11:29.815,0.068
10:11:30.815,0.068
10:11:31.815,0.069
10:11:32.815,0.068
10:11:33.815,0.068
10:11:34.815,0.068
10:11:35.815,0.068
10:11:36.815,0.068
10:11:37.815,0.068
10:11:38.815,0.068
10:11:39.816,0.068
10:11:40.815,0.068
10:11:41.815,0.067
10:11:42.815,0.067
10:11:43.815,0.068
10:11:44.815,0.069
10:11:45.815,0.067
10:11:46.815,0.067
10:11:47.815,0.067
10:11:48.815,0.067
10:11:49.815,0.067
10:11:50.816,0.067
10:11:51.816,0.066
10:11:52.815,0.067
10:11:53.815,0.067
10:11:54.815,0.067
10:11:55.815,0.066
10:11:56.815,0.066
10:11:57.816,0.066
10:11:58.815,0.066
10:11:59.815,0.065
10:12:00.815,0.065
10:12:01.815,0.065
10:12:02.815,0.065
10:12:03.815,0.065
10:12:04.816,0.065
10:12:05.815,0.065
10:12:06.816,0.065
10:12:07.816,0.065
10:12:08.815,0.064
10:12:09.815,0.064
10:12:10.815,0.064
10:12:11.816,0.063
10:12:12.815,0.063
10:12:13.816,0.063
10:12:14.816,0.063
10:12:15.816,0.063
10:12:16.816,0.063
10:12:17.815,0.063
10:12:18.816,0.062
10:12:19.816,0.062
10:12:20.816,0.062
10:12:21.815,0.062
10:12:22.816,0.062
10:12:23.815,0.062
10:12:24.816,0.062
10:12:25.816,0.061
10:12:26.816,0.061
10:12:27.816,0.063
10:12:28.815,0.06
10:12:29.816,0.06
10:12:30.816,0.06
10:12:31.816,0.06
10:12:32.816,0.06
10:12:33.816,0.06
10:12:34.815,0.06
10:12:35.816,0.06
10:12:36.816,0.06
10:12:37.816,0.06
10:12:38.816,0.059
10:12:39.815,0.059
10:12:40.816,0.059
10:12:41.816,0.059
10:12:42.816,0.059
10:12:43.816,0.059
10:12:44.816,0.059
10:12:45.815,0.059
10:12:46.815,0.058
10:12:47.816,0.058
10:12:48.816,0.058
10:12:49.816,0.058
10:12:50.815,0.058
10:12:51.815,0.057
10:12:52.816,0.058
10:12:53.816,0.057
10:12:54.816,0.057
10:12:55.816,0.057
10:12:56.816,0.057
10:12:57.816,0.057
10:12:58.816,0.057
10:12:59.816,0.056
10:13:00.815,0.056
10:13:01.816,0.056
10:13:02.815,0.056
10:13:03.816,0.056
10:13:04.816,0.056
10:13:05.816,0.056
10:13:06.816,0.056
10:13:07.816,0.056
10:13:08.816,0.055
10:13:09.816,0.055
10:13:10.816,0.055
10:13:11.816,0.056
10:13:12.816,0.055
10:13:13.816,0.055
10:13:14.816,0.055
10:13:15.816,0.055
10:13:16.816,0.055
10:13:17.816,0.055
10:13:18.816,0.054
10:13:19.816,0.055
10:13:20.816,0.054
10:13:21.816,0.054
10:13:22.816,0.057
10:13:23.816,0.053
10:13:24.816,0.054
10:13:25.816,0.054
10:13:26.816,0.056
10:13:27.816,0.054
10:13:28.816,0.053
10:13:29.816,0.053
10:13:30.816,0.053
10:13:31.817,0.053
10:13:32.816,0.053
10:13:33.816,0.053
10:13:34.816,0.054
10:13:35.816,0.053
10:13:36.817,0.053
10:13:37.816,0.053
10:13:38.816,0.053
10:13:39.816,0.053
10:13:40.816,0.053
10:13:41.817,0.053
10:13:42.816,0.053
10:13:43.816,0.053
10:13:44.816,0.053
10:13:45.816,0.053
10:13:46.816,0.053
10:13:47.816,0.053
10:13:48.816,0.053
10:13:49.816,0.053
10:13:50.817,0.053
10:13:51.816,0.053
10:13:52.817,0.053
10:13:53.816,0.053
10:13:54.817,0.053
10:13:55.816,0.053
10:13:56.817,0.053
10:13:57.816,0.053
10:13:58.816,0.053
10:13:59.816,0.053
10:14:00.816,0.053
10:14:01.816,0.053
10:14:02.816,0.053
10:14:03.816,0.053
10:14:04.817,0.053
10:14:05.816,0.053
10:14:06.816,0.053
10:14:07.816,0.053
10:14:08.816,0.054
10:14:09.816,0.057
10:14:10.816,0.053
10:14:11.816,0.053
10:14:12.816,0.054
10:14:13.816,0.055
10:14:14.816,0.055
10:14:15.816,0.054
10:14:16.816,0.056
10:14:17.817,0.055
10:14:18.816,0.055
10:14:19.816,0.055
10:14:20.816,0.055
10:14:21.816,0.056
10:14:22.816,0.056
10:14:23.816,0.056
10:14:24.817,0.055
10:14:25.817,0.056
10:14:26.816,0.056
10:14:27.816,0.056
10:14:28.817,0.057
10:14:29.816,0.057
10:14:30.816,0.056
10:14:31.817,0.056
10:14:32.816,0.057
10:14:33.816,0.057
10:14:34.816,0.057
10:14:35.817,0.057
10:14:36.817,0.057
10:14:37.816,0.057
10:14:38.816,0.057
10:14:39.816,0.057
10:14:40.817,0.057
10:14:41.816,0.058
10:14:42.817,0.058
10:14:43.816,0.058
10:14:44.816,0.058
10:14:45.816,0.058
10:14:46.816,0.058
10:14:47.817,0.059
10:14:48.817,0.059
10:14:49.817,0.058
10:14:50.817,0.059
10:14:51.816,0.059
10:14:52.816,0.061
10:14:53.817,0.061
10:14:54.816,0.059
10:14:55.816,0.059
10:14:56.816,0.06
10:14:57.816,0.06
10:14:58.817,0.06
10:14:59.816,0.06
10:15:00.817,0.06
10:15:01.817,0.06
10:15:02.817,0.063
10:15:03.816,0.06
10:15:04.816,0.06
10:15:05.817,0.06
10:15:06.817,0.06
10:15:07.817,0.06
10:15:08.817,0.061
10:15:09.816,0.06
10:15:10.817,0.061
10:15:11.817,0.062
10:15:12.816,0.062
10:15:13.816,0.062
10:15:14.817,0.062
10:15:15.817,0.062
10:15:16.816,0.062
10:15:17.816,0.062
10:15:18.817,0.063
10:15:19.817,0.062
10:15:20.817,0.063
10:15:21.817,0.063
10:15:22.816,0.063
10:15:23.817,0.063
10:15:24.817,0.063
10:15:25.817,0.063
10:15:26.817,0.063
10:15:27.817,0.063
10:15:28.817,0.064
10:15:29.817,0.064
10:15:30.817,0.064
10:15:31.817,0.064
10:15:32.817,0.064
10:15:33.817,0.064
10:15:34.817,0.064
10:15:35.817,0.064
10:15:36.817,0.064
10:15:37.817,0.064
10:15:38.817,0.064
10:15:39.817,0.065
10:15:40.817,0.065
10:15:41.817,0.065
10:15:42.817,0.065
10:15:43.817,0.065
10:15:44.817,0.065
10:15:45.817,0.065
10:15:46.817,0.065
10:15:47.817,0.066
10:15:48.817,0.066
10:15:49.817,0.066
10:15:50.817,0.066
10:15:51.817,0.066
10:15:52.817,0.066
10:15:53.817,0.066
10:15:54.817,0.066
10:15:55.817,0.066
10:15:56.817,0.066
10:15:57.817,0.066
10:15:58.817,0.066
10:15:59.817,0.066
10:16:00.817,0.067
10:16:01.817,0.066
10:16:02.818,0.067
10:16:03.817,0.067
10:16:04.818,0.067
10:16:05.817,0.067
10:16:06.818,0.066
10:16:07.817,0.067
