Time,Position
10:37:50.147055,0.165
10:38:04.647000,0.164
10:38:14.647000,0.163
10:38:25.147000,0.162
10:38:35.147125,0.161
10:38:44.647181,0.16
10:38:55.647000,0.159
10:39:07.647076,0.158
10:39:22.147062,0.157
10:39:47.647000,0.156
10:40:13.647000,0.157
10:40:29.147071,0.158
10:40:42.647000,0.159
10:40:55.147083,0.16
10:41:05.647111,0.161
10:41:16.147000,0.162
10:41:22.647000,0.163
10:41:23.647000,0.162
10:41:29.647090,0.163
10:41:43.647058,0.164
10:42:21.647101,0.165
10:43:00.647000,0.164
10:43:16.647076,0.163
10:43:31.147062,0.162
10:43:45.147083,0.161
10:43:58.647000,0.16
10:44:18.147166,0.159
10:44:50.647097,0.158
10:45:26.147066,0.159
10:45:49.147062,0.16
10:46:03.147000,0.161
10:46:17.147000,0.162
10:46:25.647000,0.163
10:46:26.647000,0.162
10:46:34.147142,0.163
10:46:41.647000,0.164
10:46:42.647000,0.163
10:46:59.647121,0.164
10:47:17.147000,0.165
10:47:18.647000,0.164
10:47:28.147000,0.165
10:47:52.647032,0.164
